arquivo,n_itens,W,valor_otimo,valor_algoritmo,tempo_seg,memoria_kb,memoria_pico_kb,status
f10_l-d_kp_20_879.csv,20,879,1025,1025,0.107365,26.5,49.13,OK
f1_l-d_kp_10_269.csv,10,269,295,293,0.003955,0.38,3.11,OK
f2_l-d_kp_20_878.csv,20,878,1024,1024,0.089352,0.32,22.86,OK
f3_l-d_kp_4_20.csv,4,20,35,35,0.00067,0.28,0.67,OK
f4_l-d_kp_4_11.csv,4,11,23,23,0.000695,0.27,0.73,OK
f6_l-d_kp_10_60.csv,10,60,52,52,0.003014,0.27,1.42,OK
f7_l-d_kp_7_50.csv,7,50,107,107,0.001182,0.26,0.83,OK
f8_l-d_kp_23_10000.csv,23,10000,9767,9714,0.33544,23.87,54.48,OK
f9_l-d_kp_5_80.csv,5,80,130,130,0.000806,0.23,0.83,OK
