W,arquivo,memoria_kb,memoria_pico_kb,n_fila,n_itens,n_nos,status,tempo_seg,valor_algoritmo,valor_otimo
997,knapPI_14_200_1000_1.csv,120.59,5742.75,,200,,OK,209.481442,5397,5397
5002,knapPI_1_1000_1000_1.csv,159.73,67182.73,,1000,,TIMEOUT,1804.83413,18793,54503
995,knapPI_1_100_1000_1.csv,109.12,1130.96,,100,,OK,23.307769,9147,9147
10011,knapPI_1_2000_1000_1.csv,172.11,248589.09,,2000,,TIMEOUT,1824.529874,11947,110625
1008,knapPI_1_200_1000_1.csv,109.27,4853.39,,200,,OK,189.4324,11238,11238
2543,knapPI_1_500_1000_1.csv,109.54,25591.06,,500,,TIMEOUT,1802.804703,21866,28857
5002,knapPI_2_1000_1000_1.csv,109.58,63863.88,,1000,,TIMEOUT,1802.39511,6370,9052
995,knapPI_2_100_1000_1.csv,109.08,1117.42,,100,,OK,21.540703,1514,1514
10011,knapPI_2_2000_1000_1.csv,109.62,236254.42,,2000,,TIMEOUT,1847.668989,10255,18051
1008,knapPI_2_200_1000_1.csv,109.34,4687.93,,200,,OK,170.320722,1634,1634
2543,knapPI_2_500_1000_1.csv,109.55,26268.62,,500,,TIMEOUT,1805.862526,4211,4566
4990,knapPI_3_1000_1000_1.csv,109.54,74992.06,,1000,,TIMEOUT,1812.453084,7790,14390
997,knapPI_3_100_1000_1.csv,109.15,1296.05,,100,,OK,34.129617,2396,2397
9819,knapPI_3_2000_1000_1.csv,109.59,272538.03,,2000,,TIMEOUT,1813.987652,11835,28919
997,knapPI_3_200_1000_1.csv,109.45,5354.18,,200,,OK,219.948503,2695,2697
2517,knapPI_3_500_1000_1.csv,109.5,27501.41,,500,,TIMEOUT,1805.123952,6217,7117
879,f10_l-d_kp_20_879.csv,39.25,110.16,,20,,OK,0.04388,1025,1025
269,f1_l-d_kp_10_269.csv,0.33,7.2,,10,,OK,0.001401,293,295
878,f2_l-d_kp_20_878.csv,2.51,75.59,,20,,OK,0.039083,1024,1024
20,f3_l-d_kp_4_20.csv,0.28,1.3,,4,,OK,0.000281,35,35
11,f4_l-d_kp_4_11.csv,0.27,1.3,,4,,OK,0.000348,23,23
60,f6_l-d_kp_10_60.csv,0.27,9.35,,10,,OK,0.001009,52,52
50,f7_l-d_kp_7_50.csv,0.26,2.41,,7,,OK,0.000729,107,107
10000,f8_l-d_kp_23_10000.csv,0.46,66.03,,23,,OK,0.027071,9714,9767
80,f9_l-d_kp_5_80.csv,0.23,2.41,,5,,OK,0.000519,130,130
879,f10_l-d_kp_20_879.csv,26.5,49.13,,20,,OK,0.089437,1025,1025
269,f1_l-d_kp_10_269.csv,0.38,3.11,,10,,OK,0.002877,293,295
878,f2_l-d_kp_20_878.csv,0.32,22.86,,20,,OK,0.083234,1024,1024
20,f3_l-d_kp_4_20.csv,0.28,0.67,,4,,OK,0.000385,35,35
11,f4_l-d_kp_4_11.csv,0.27,0.73,,4,,OK,0.000365,23,23
60,f6_l-d_kp_10_60.csv,0.27,1.42,,10,,OK,0.002029,52,52
50,f7_l-d_kp_7_50.csv,0.26,0.83,,7,,OK,0.000735,107,107
10000,f8_l-d_kp_23_10000.csv,23.87,54.48,,23,,OK,0.31555,9714,9767
80,f9_l-d_kp_5_80.csv,0.23,0.83,,5,,OK,0.000524,130,130
997,knapPI_14_200_1000_1.csv,2.32,7.54,,200,,OK,0.001923,5397,5397
49877,knapPI_1_10000_1000_1.csv,2.57,466.7,,10000,,OK,0.071265,563534,563647
5002,knapPI_1_1000_1000_1.csv,2.45,44.76,,1000,,OK,0.006223,54046,54503
995,knapPI_1_100_1000_1.csv,0.26,1.11,,100,,OK,0.000454,8817,9147
10011,knapPI_1_2000_1000_1.csv,2.48,91.55,,2000,,OK,0.014476,110328,110625
1008,knapPI_1_200_1000_1.csv,1.39,5.76,,200,,OK,0.000998,11227,11238
25016,knapPI_1_5000_1000_1.csv,2.52,232.01,,5000,,OK,0.035589,276371,276457
