arquivo,n_itens,W,valor_otimo,valor_algoritmo,n_nos,n_fila,tempo_seg,memoria_kb,memoria_pico_kb,status
f10_l-d_kp_20_879.csv,20,879,1025,1025,52,19,0.008028,0.5,5.21,OK
f1_l-d_kp_10_269.csv,10,269,295,295,28,8,0.001609,0.03,1.39,OK
f2_l-d_kp_20_878.csv,20,878,1024,1024,52,19,0.009502,0.2,3.57,OK
f3_l-d_kp_4_20.csv,4,20,35,35,7,4,0.000404,0.0,0.77,OK
f4_l-d_kp_4_11.csv,4,11,23,23,11,4,0.000604,0.0,0.77,OK
f6_l-d_kp_10_60.csv,10,60,52,52,169,23,0.010068,0.3,3.1,OK
f7_l-d_kp_7_50.csv,7,50,107,107,8,3,0.000465,0.0,0.7,OK
f8_l-d_kp_23_10000.csv,23,10000,9767,9767,2921028,741608,304.445513,2.62,139052.59,OK
f9_l-d_kp_5_80.csv,5,80,130,130,7,3,0.000332,0.0,0.73,OK
